from,to,weight
Grauer 1,Gov. Moore,2
Grauer 2,Gov. Moore,2
Estes,Gov. Moore,2
Wannamaker,Gov. Moore,2
Setzer,Gov. Moore,2
C. Alexander,Gov. Umstead,1
Sharpe,Gov. Moore,2
Cherry,Gov. Moore,2
Bailey,Gov. Umstead,1
Stith,Gov. Moore,2
Berry,Gov. Umstead,1
Sherrill,Gov. Moore,2
Frink,Gov. Moore,2
NAACP,Gov. Moore,2
Hinson,Gov. Moore,1
Glenn,Gov. Moore,2
Knight,Gov. Moore,2
Caldwell,Gov. Moore,1
Duffield,Gov. Moore,2
Hilton,Sen. Byrd,2
Kramer,Gov. Moore,2
Colie,Gov. Moore,2
Kester,Gov. Moore,2
Bennett,Gov. Moore,2
Mills,Gov. Moore,2
Grabarek,Gov. Moore,2
Rulison,Gov. Moore,2
Smith 1,Gov. Moore,2
Reed,Gov. Moore,2
Smith 2,Justice Burger,1
Andrews,Gov. Umstead,1
Whitaker,Gov. Moore,2
R. Higgins,Gov. Moore,2
R. Corpening,Gov. Moore,2
R. McKnight,Gov. Moore,2
R. Levinson,Gov. Moore,2
Porter,Gov. Hodges,1
Howell,Gov. Hodges,1
Hyman,Gov. Moore,2
Daniel,Gov. Moore,2
Wells,Gov. Moore,2
K. Alexander,Gov. Umstead,2
Allred,Gov. Hodges,1
Ijames,Gov. Moore,2
Norris,Gov. Moore,2
Lee,Gov. Moore,1
Elmore,Gov. Moore,1
Gardner,Gov. Moore,2
Queen,Gov. Moore,2
G'boro Co.,Gov. Moore,2
Blumberg,Gov. Moore,1
Tompson,Gov. Moore,2
Kelly,Gov. Moore,2
Blum,Gov. Moore,2
Severinghaus,Gov. Moore,2
Mosley,Gov. Moore,2
Myers,Gov. Moore,1
Myrick,Gov. Moore,2
